,source,target
591,MCAmusement,2955449951
592,MCAmusement,3256653615
593,MCAmusement,2984931724
594,MCAmusement,2840814857
595,MCAmusement,2870976941
596,MCAmusement,3167334048
597,MCAmusement,3020428791
598,MCAmusement,3124803144
599,MCAmusement,3183185954
600,MCAmusement,2592740565
601,MCAmusement,3210000881
602,MCAmusement,2992877616
603,MCAmusement,3007270657
604,MCAmusement,2999421354
605,MCAmusement,1636318074
606,MCAmusement,2743289270
607,MCAmusement,2748526981
608,MCAmusement,3091721123
609,MCAmusement,16904352
610,MCAmusement,2980372016
611,MCAmusement,422610125
612,MCAmusement,94910410
613,MCAmusement,107077545
614,MCAmusement,2949957547
615,MCAmusement,3083084427
616,MCAmusement,103522053
617,MCAmusement,182103541
618,MCAmusement,2760585037
619,MCAmusement,212939840
620,MCAmusement,2525653237
621,MCAmusement,972843697
622,MCAmusement,2463816464
623,MCAmusement,2992972804
624,MCAmusement,95063956
625,MCAmusement,2995259958
626,MCAmusement,2489309209
627,MCAmusement,3024424890
628,MCAmusement,3045501973
629,MCAmusement,2321666078
630,MCAmusement,26286295
631,MCAmusement,2715146462
632,MCAmusement,2792933317
633,MCAmusement,94717863
634,MCAmusement,3075076008
635,MCAmusement,1875284544
636,MCAmusement,18171832
637,MCAmusement,2881187532
638,MCAmusement,18326854
639,MCAmusement,3082004145
640,MCAmusement,3044942189
641,MCAmusement,2950063300
642,MCAmusement,3007410791
643,MCAmusement,2697107389
644,MCAmusement,3044260533
645,MCAmusement,278014334
646,MCAmusement,855250406
647,MCAmusement,460634007
648,MCAmusement,3017258182
649,MCAmusement,3033353996
650,MCAmusement,468124186
651,MCAmusement,3000819680
652,MCAmusement,3000817112
653,MCAmusement,3000814874
654,MCAmusement,3000764826
655,MCAmusement,3000823555
656,MCAmusement,2734841699
657,MCAmusement,2975633762
658,MCAmusement,2999892645
659,MCAmusement,1274358288
660,MCAmusement,3071025394
661,MCAmusement,2717254623
662,MCAmusement,2696230832
663,MCAmusement,2327637877
664,MCAmusement,361259560
665,MCAmusement,627040423
666,MCAmusement,3078595511
667,MCAmusement,3047626067
668,MCAmusement,96578619
669,MCAmusement,2858696675
670,MCAmusement,2923161750
671,MCAmusement,3068735405
672,MCAmusement,176101683
673,MCAmusement,2834346015
674,MCAmusement,171920307
675,MCAmusement,3047607013
676,MCAmusement,466435438
677,MCAmusement,2554412436
678,MCAmusement,3050951175
679,MCAmusement,3044635906
680,MCAmusement,3082234340
681,MCAmusement,3038116663
